Suburb,SellerG,CouncilArea,Type,BuildingArea,Rooms,Propertycount,Lattitude,Longtitude,Distance,YearBuilt,Car,Postcode,airbnb_price_median,airbnb_weekly_price_median,airbnb_monthly_price_median
Abbotsford,Biggin,Yarra,h,,2,4019.0,-37.7996,144.9984,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,79.0,2,4019.0,-37.8079,144.9934,2.5,1900.0,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,150.0,3,4019.0,-37.8093,144.9944,2.5,1900.0,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,,3,4019.0,-37.7969,144.9969,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Nelson,Yarra,h,142.0,4,4019.0,-37.8072,144.9941,2.5,2014.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Jellis,Yarra,h,,2,4019.0,-37.8041,144.9953,2.5,,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Nelson,Yarra,h,210.0,3,4019.0,-37.8024,144.9993,2.5,1910.0,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Nelson,Yarra,h,107.0,2,4019.0,-37.806,144.9954,2.5,1890.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,u,,1,4019.0,-37.8008,144.9973,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,75.0,2,4019.0,-37.801,144.9989,2.5,1900.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Jellis,Yarra,u,,2,4019.0,-37.811,145.0067,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Nelson,Yarra,h,190.0,3,4019.0,-37.8085,144.9964,2.5,2005.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,u,94.0,2,4019.0,-37.8078,144.9965,2.5,2009.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,,2,4019.0,-37.8084,144.9973,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Greg,Yarra,u,,1,4019.0,-37.8016,144.9988,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Jellis,Yarra,h,97.0,2,4019.0,-37.809,144.9976,2.5,1890.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Jellis,Yarra,h,110.0,3,4019.0,-37.8056,144.993,2.5,1880.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,LITTLE,Yarra,h,105.0,3,4019.0,-37.8021,144.9965,2.5,1890.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Collins,Yarra,h,,3,4019.0,-37.8022,144.9975,2.5,,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,73.0,2,4019.0,-37.8011,145.0004,2.5,1985.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Kay,Yarra,h,135.0,4,4019.0,-37.8073,144.9952,2.5,1900.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Beller,Yarra,t,,3,4019.0,-37.8093,144.9959,2.5,2010.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,135.0,2,4019.0,-37.8079,144.9977,2.5,2013.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Marshall,Yarra,h,85.0,2,4019.0,-37.808,144.994,2.5,1900.0,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Greg,Yarra,u,,1,4019.0,-37.8016,144.9988,2.5,,1.0,3067.0,100.0,380.0,1440.0
