epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6664,0.6048,0.7118404300466827,0.7114,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
2,0.5813,0.5721,0.7146696845381242,0.7125,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
3,0.567,0.5654,0.7167916254067054,0.7153,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
4,0.5627,0.5625,0.7184891781015702,0.7178,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
5,0.5602,0.5603,0.7208940444192955,0.7201,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
6,0.5581,0.5587,0.7201867307964351,0.7189,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
7,0.5564,0.5571,0.7208940444192955,0.7196,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
8,0.5548,0.556,0.7210355071438675,0.7196,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
9,0.5535,0.5544,0.7234403734615928,0.7225,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
10,0.5521,0.5535,0.7259867025038902,0.7253,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
11,0.5513,0.5524,0.7249964634318857,0.7237,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
12,0.5503,0.5514,0.7247135379827415,0.7238,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
13,0.5492,0.5507,0.7259867025038902,0.7247,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
14,0.5484,0.5497,0.7261281652284624,0.7252,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
15,0.5474,0.5492,0.7261281652284624,0.7246,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
16,0.5468,0.5484,0.7272598670250389,0.7259,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
17,0.546,0.5475,0.7271184043004668,0.7263,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
18,0.5453,0.5468,0.7279671806478992,0.7271,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
19,0.5447,0.5462,0.7279671806478992,0.7271,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
20,0.5441,0.5456,0.7282501060970434,0.7272,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
21,0.5435,0.545,0.7283915688216155,0.7276,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
22,0.5428,0.5447,0.7276842551987551,0.7263,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
23,0.5423,0.5439,0.7290988824444758,0.7281,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
24,0.5419,0.5433,0.7289574197199038,0.7281,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
25,0.5414,0.5429,0.7282501060970434,0.7273,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
26,0.5408,0.5424,0.729240345169048,0.7284,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
27,0.5403,0.542,0.7293818078936201,0.7282,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
28,0.5399,0.5415,0.7295232706181921,0.7287,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
29,0.5395,0.5411,0.7299476587919084,0.7289,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
30,0.539,0.5406,0.729240345169048,0.7284,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
31,0.5386,0.5402,0.7298061960673362,0.7289,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
32,0.5382,0.5398,0.7300891215164804,0.7293,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
