epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
1,0.6791,0.6502,0.6516,0.6916548797736917,0.6902,0.6900551704625831,0.688,0.686099764822379,0.6846,SmallMLP-Tanh-Adagrad-0.01-0
2,0.624,0.5959,0.5991,0.709052333804809,0.7089,0.7132550572924035,0.7132,0.7091047336127173,0.7089,SmallMLP-Tanh-Adagrad-0.01-0
3,0.5863,0.5721,0.5759,0.7127298444130127,0.7127,0.7167916254067054,0.7168,0.7130833023889095,0.7131,SmallMLP-Tanh-Adagrad-0.01-0
4,0.5709,0.5598,0.5647,0.7176803394625176,0.7164,0.7216013580421559,0.7206,0.7216770109454848,0.7204,SmallMLP-Tanh-Adagrad-0.01-0
5,0.564,0.5559,0.5605,0.7223479490806224,0.7221,0.7275427924741831,0.7274,0.7230385655933372,0.7228,SmallMLP-Tanh-Adagrad-0.01-0
6,0.5625,0.5513,0.5564,0.7209335219236209,0.72,0.7268354788513227,0.7261,0.7262037380863968,0.7253,SmallMLP-Tanh-Adagrad-0.01-0
7,0.5578,0.549,0.5541,0.7230551626591231,0.7221,0.7289574197199038,0.7282,0.7272116421763656,0.7263,SmallMLP-Tanh-Adagrad-0.01-0
8,0.5587,0.548,0.5529,0.7234794908062234,0.7229,0.7288159569953317,0.7284,0.7280427209873923,0.7275,SmallMLP-Tanh-Adagrad-0.01-0
9,0.5568,0.5455,0.5508,0.7237623762376237,0.7225,0.7305135096901967,0.7294,0.7289268473821018,0.7276,SmallMLP-Tanh-Adagrad-0.01-0
10,0.5542,0.5441,0.5494,0.7248939179632249,0.7239,0.7310793605884849,0.7303,0.7302353544462716,0.7293,SmallMLP-Tanh-Adagrad-0.01-0
11,0.5544,0.5432,0.5484,0.7256011315417256,0.7248,0.7319281369359174,0.7314,0.7302884020299542,0.7296,SmallMLP-Tanh-Adagrad-0.01-0
12,0.5542,0.5415,0.5469,0.7246110325318246,0.7236,0.7329183760079219,0.7321,0.7312255760083461,0.7302,SmallMLP-Tanh-Adagrad-0.01-0
13,0.5501,0.5418,0.547,0.7268741159830269,0.7265,0.7327769132833498,0.7325,0.7305359574204728,0.7301,SmallMLP-Tanh-Adagrad-0.01-0
14,0.5486,0.5394,0.5449,0.7256011315417256,0.7248,0.7332013014570661,0.7325,0.7319859247077962,0.7311,SmallMLP-Tanh-Adagrad-0.01-0
15,0.5519,0.5396,0.5449,0.728005657708628,0.7276,0.7336256896307823,0.7333,0.7315792265662299,0.7312,SmallMLP-Tanh-Adagrad-0.01-0
16,0.5474,0.5371,0.5429,0.7267326732673267,0.7257,0.7340500778044985,0.7332,0.732993828797765,0.7319,SmallMLP-Tanh-Adagrad-0.01-0
17,0.5461,0.536,0.5419,0.7287128712871287,0.7274,0.7343330032536427,0.7332,0.7335066221066964,0.7321,SmallMLP-Tanh-Adagrad-0.01-0
18,0.549,0.5353,0.5412,0.7288543140028289,0.7278,0.7340500778044985,0.7331,0.7340017328877336,0.7328,SmallMLP-Tanh-Adagrad-0.01-0
19,0.5468,0.5344,0.5404,0.728995756718529,0.7276,0.7350403168765031,0.7338,0.7339133202482627,0.7324,SmallMLP-Tanh-Adagrad-0.01-0
20,0.5465,0.5337,0.5397,0.7298444130127298,0.7286,0.7347573914273589,0.7337,0.734885859282443,0.7336,SmallMLP-Tanh-Adagrad-0.01-0
21,0.5436,0.5335,0.5394,0.7277227722772277,0.727,0.7360305559485075,0.7355,0.7348681767545489,0.7341,SmallMLP-Tanh-Adagrad-0.01-0
22,0.5442,0.5323,0.5384,0.7301272984441302,0.729,0.7358890932239355,0.735,0.7356108429261047,0.7345,SmallMLP-Tanh-Adagrad-0.01-0
23,0.5439,0.5336,0.5394,0.7278642149929279,0.7276,0.7354647050502192,0.7353,0.7337895425530033,0.7335,SmallMLP-Tanh-Adagrad-0.01-0
24,0.5444,0.531,0.5372,0.7308345120226308,0.7297,0.7375866459188004,0.7367,0.7356108429261047,0.7345,SmallMLP-Tanh-Adagrad-0.01-0
25,0.5437,0.5303,0.5366,0.7308345120226308,0.7295,0.73687933229594,0.7357,0.7360529061234594,0.7347,SmallMLP-Tanh-Adagrad-0.01-0
26,0.5426,0.5298,0.5361,0.7312588401697313,0.7299,0.7374451831942284,0.7363,0.736194366346613,0.7349,SmallMLP-Tanh-Adagrad-0.01-0
27,0.5411,0.5295,0.5357,0.7311173974540311,0.7302,0.7381524968170887,0.7374,0.7364772867929199,0.7356,SmallMLP-Tanh-Adagrad-0.01-0
28,0.5397,0.5288,0.5351,0.7306930693069307,0.7297,0.7382939595416608,0.7375,0.7362650964581897,0.7353,SmallMLP-Tanh-Adagrad-0.01-0
29,0.5395,0.5281,0.5345,0.7318246110325318,0.7306,0.738718347715377,0.7377,0.7367425247113327,0.7355,SmallMLP-Tanh-Adagrad-0.01-0
30,0.5408,0.5276,0.5341,0.7338048090523338,0.7323,0.7397085867873815,0.7383,0.7370961752692164,0.7356,SmallMLP-Tanh-Adagrad-0.01-0
31,0.5403,0.5271,0.5336,0.7336633663366336,0.7323,0.7401329749610978,0.739,0.7371138577971107,0.7358,SmallMLP-Tanh-Adagrad-0.01-0
32,0.5401,0.5277,0.534,0.7311173974540311,0.7306,0.7384354222662328,0.738,0.7373437306597351,0.7368,SmallMLP-Tanh-Adagrad-0.01-0
33,0.5407,0.5271,0.5335,0.7308345120226308,0.7302,0.7391427358890932,0.7387,0.737520555938677,0.7369,SmallMLP-Tanh-Adagrad-0.01-0
34,0.5398,0.5258,0.5324,0.7343705799151343,0.7329,0.7414061394822464,0.7402,0.7378742064965608,0.7365,SmallMLP-Tanh-Adagrad-0.01-0
35,0.5394,0.5254,0.532,0.734936350777935,0.7335,0.7412646767576744,0.74,0.7378742064965608,0.7364,SmallMLP-Tanh-Adagrad-0.01-0
