epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6639,0.5962,0.7230159852878767,0.723,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
2,0.583,0.5599,0.7249964634318857,0.7248,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
3,0.5699,0.5481,0.7356061677747914,0.7352,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
4,0.566,0.5445,0.7395671240628094,0.7384,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
5,0.5628,0.5419,0.7401329749610978,0.7389,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
6,0.5607,0.5395,0.7402744376856698,0.7394,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
7,0.5585,0.5383,0.7391427358890932,0.7388,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
8,0.5572,0.536,0.7416890649313905,0.7408,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
9,0.5559,0.5347,0.742396378554251,0.7414,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
10,0.5547,0.5333,0.7439524685245438,0.7428,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
11,0.5522,0.5323,0.7411232140331023,0.7406,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
12,0.5524,0.5314,0.7438110057999717,0.7421,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
13,0.551,0.5298,0.7433866176262555,0.7425,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
14,0.5499,0.5289,0.7450841703211204,0.7439,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
15,0.5491,0.5281,0.7457914839439808,0.7445,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
16,0.5481,0.5272,0.7457914839439808,0.7443,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
17,0.5476,0.5261,0.7456500212194087,0.7447,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
18,0.5459,0.5252,0.7448012448719762,0.7437,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
19,0.5453,0.5245,0.7449427075965483,0.7439,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
20,0.545,0.5241,0.74437685669826,0.743,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
21,0.5444,0.5235,0.74437685669826,0.7431,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
22,0.5442,0.523,0.7450841703211204,0.7437,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
23,0.5427,0.5223,0.7459329466685528,0.7446,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
24,0.5428,0.5218,0.7457914839439808,0.7445,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
25,0.5423,0.5219,0.7452256330456924,0.7433,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
26,0.5413,0.521,0.7452256330456924,0.7437,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
27,0.5406,0.5201,0.7450841703211204,0.7439,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
28,0.5409,0.5197,0.7464987975668411,0.7456,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
29,0.5402,0.5198,0.7460744093931249,0.7444,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
30,0.5394,0.5193,0.7463573348422691,0.7448,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
31,0.5396,0.5189,0.7463573348422691,0.7448,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
32,0.5385,0.5182,0.7470646484651294,0.7458,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
33,0.5392,0.5178,0.7486207384354223,0.7478,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
34,0.5375,0.5173,0.7487622011599944,0.7479,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
35,0.5374,0.5183,0.7459329466685528,0.7438,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
36,0.5372,0.5175,0.7469231857405574,0.7451,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
37,0.5367,0.5172,0.7476304993634177,0.7458,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
38,0.5366,0.5165,0.7474890366388457,0.746,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
39,0.5355,0.5162,0.7493280520582827,0.7477,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
40,0.5356,0.5154,0.7486207384354223,0.7476,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
41,0.5358,0.5153,0.7489036638845664,0.7478,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
42,0.5355,0.515,0.7489036638845664,0.7479,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
43,0.5342,0.5148,0.7484792757108502,0.7472,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
44,0.5346,0.5145,0.7494695147828547,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
45,0.5346,0.5143,0.7496109775074268,0.7485,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
46,0.5344,0.514,0.7503182911302871,0.7493,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
47,0.5337,0.514,0.7477719620879898,0.7463,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
48,0.5328,0.5136,0.7483378129862781,0.747,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
49,0.5329,0.5136,0.7474890366388457,0.7459,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
50,0.5326,0.513,0.7496109775074268,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
51,0.5322,0.5132,0.7479134248125618,0.7464,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
52,0.5327,0.5129,0.7481963502617061,0.7468,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
53,0.5316,0.5124,0.7510256047531475,0.75,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
54,0.5314,0.5131,0.7476304993634177,0.7458,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
55,0.5319,0.5121,0.7497524402319988,0.7485,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
56,0.5314,0.5121,0.7493280520582827,0.7479,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
57,0.5315,0.5117,0.7493280520582827,0.7482,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
58,0.5313,0.5124,0.748054887537134,0.7462,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
59,0.531,0.5113,0.7491865893337105,0.748,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
60,0.5306,0.5115,0.7501768284057151,0.7487,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
61,0.5301,0.5116,0.7490451266091385,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
62,0.5305,0.5108,0.7494695147828547,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
63,0.5309,0.511,0.7487622011599944,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
64,0.5293,0.511,0.7494695147828547,0.748,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
65,0.5301,0.5108,0.7494695147828547,0.748,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
66,0.5297,0.5116,0.7493280520582827,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
67,0.5296,0.5113,0.7497524402319988,0.7479,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
68,0.529,0.5101,0.7486207384354223,0.7475,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
69,0.5284,0.5099,0.7487622011599944,0.7476,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
70,0.5291,0.5097,0.7484792757108502,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
71,0.5284,0.5098,0.7490451266091385,0.7477,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
72,0.5286,0.5093,0.7493280520582827,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
73,0.5283,0.5098,0.7501768284057151,0.7486,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
74,0.5276,0.5091,0.7493280520582827,0.7483,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
75,0.5269,0.5091,0.7494695147828547,0.7482,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
76,0.5275,0.5095,0.7497524402319988,0.7482,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
77,0.5272,0.5091,0.7484792757108502,0.7471,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
78,0.5273,0.5086,0.7487622011599944,0.7479,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
79,0.5275,0.5094,0.7493280520582827,0.7477,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
80,0.5271,0.5084,0.7491865893337105,0.7483,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
81,0.5269,0.5086,0.7489036638845664,0.7476,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
82,0.5264,0.5082,0.7493280520582827,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
83,0.5269,0.5083,0.7496109775074268,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
84,0.5263,0.508,0.7497524402319988,0.7487,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
85,0.5264,0.5082,0.7494695147828547,0.7481,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
86,0.5255,0.5079,0.7504597538548592,0.7493,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
87,0.5263,0.5082,0.7489036638845664,0.7475,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
88,0.526,0.5077,0.749893902956571,0.7488,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
89,0.5252,0.5084,0.7479134248125618,0.7463,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
90,0.5258,0.5075,0.7504597538548592,0.7494,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
91,0.5259,0.5081,0.7489036638845664,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
92,0.5253,0.5075,0.749893902956571,0.7486,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
93,0.5254,0.5072,0.7496109775074268,0.7485,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
94,0.5246,0.5071,0.7508841420285755,0.7501,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
95,0.5249,0.5077,0.748054887537134,0.7465,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
96,0.5247,0.5071,0.7508841420285755,0.7497,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
97,0.5242,0.5068,0.7515914556514358,0.7508,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
98,0.5243,0.5076,0.7474890366388457,0.7459,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
99,0.5243,0.5067,0.7506012165794314,0.7496,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
100,0.5243,0.5067,0.7507426793040034,0.7496,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
1,0.6739,0.6218,0.7208940444192955,0.7208,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
2,0.6116,0.5595,0.734898854151931,0.7347,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
3,0.5918,0.5475,0.7375866459188004,0.737,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
4,0.5855,0.543,0.7392841986136653,0.7387,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
5,0.5787,0.5398,0.742396378554251,0.7412,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
6,0.583,0.5391,0.7435280803508275,0.742,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
7,0.5803,0.5374,0.7436695430753997,0.7429,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
8,0.5774,0.5367,0.7449427075965483,0.7434,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
9,0.5793,0.5362,0.7446597821474041,0.743,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
10,0.5787,0.5348,0.7439524685245438,0.7429,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
11,0.5811,0.5347,0.7455085584948367,0.744,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
12,0.5758,0.5336,0.7446597821474041,0.7434,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
13,0.5785,0.5332,0.7445183194228321,0.7433,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
14,0.5752,0.5326,0.744235393973688,0.743,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
15,0.5711,0.5321,0.7470646484651294,0.7454,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
16,0.5755,0.5309,0.7459329466685528,0.745,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
17,0.5784,0.531,0.7460744093931249,0.7448,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
18,0.577,0.5305,0.7463573348422691,0.7451,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
19,0.576,0.5308,0.7472061111897015,0.7457,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
20,0.572,0.5308,0.7466402602914132,0.7447,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
21,0.5764,0.5295,0.7464987975668411,0.7456,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
22,0.5744,0.53,0.748054887537134,0.7464,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
23,0.5737,0.5295,0.7487622011599944,0.7473,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
24,0.5749,0.5287,0.7489036638845664,0.7476,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
25,0.5736,0.5284,0.7484792757108502,0.7472,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
26,0.5715,0.5283,0.7490451266091385,0.7477,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
27,0.5694,0.5276,0.748054887537134,0.7466,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
