epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.5777,0.5435,0.7373037204696562,0.7345,SmallMLP-Tanh-Adagrad-0.1-0
2,0.5389,0.5796,0.7033526665723582,0.6988,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5303,0.5248,0.7411232140331023,0.7375,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5235,0.5276,0.7364549441222238,0.7363,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5203,0.5206,0.7402744376856698,0.7393,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5181,0.5184,0.744235393973688,0.7406,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5169,0.5211,0.7419719903805347,0.7363,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5135,0.5157,0.7445183194228321,0.741,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5126,0.5194,0.7432451549016834,0.7384,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5127,0.5143,0.7445183194228321,0.741,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5099,0.5127,0.7448012448719762,0.7414,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5073,0.5119,0.7448012448719762,0.7416,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5082,0.5214,0.742537841278823,0.736,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5061,0.5158,0.746215872117697,0.7417,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5067,0.5092,0.7449427075965483,0.7441,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5053,0.5179,0.746215872117697,0.7413,SmallMLP-Tanh-Adagrad-0.1-0
17,0.5064,0.5283,0.7398500495119535,0.7313,SmallMLP-Tanh-Adagrad-0.1-0
18,0.505,0.5092,0.7439524685245438,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
19,0.5044,0.5098,0.7438110057999717,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5037,0.5165,0.7432451549016834,0.7371,SmallMLP-Tanh-Adagrad-0.1-0
