epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6954,0.6935,0.5062950912434574,0.3361,SmallMLP-Tanh-SGD-0.1-0
2,0.6957,0.6931,0.5651435846654407,0.5645,SmallMLP-Tanh-SGD-0.1-0
3,0.6938,0.6927,0.5108218984297638,0.3535,SmallMLP-Tanh-SGD-0.1-0
4,0.6638,0.5748,0.7238647616353091,0.7239,SmallMLP-Tanh-SGD-0.1-0
5,0.5626,0.5575,0.7213184325930118,0.7092,SmallMLP-Tanh-SGD-0.1-0
6,0.5579,0.5472,0.7191964917244306,0.7183,SmallMLP-Tanh-SGD-0.1-0
7,0.5421,0.5337,0.7411232140331023,0.7368,SmallMLP-Tanh-SGD-0.1-0
8,0.5418,0.5434,0.7394256613382374,0.734,SmallMLP-Tanh-SGD-0.1-0
9,0.5358,0.5197,0.7350403168765031,0.735,SmallMLP-Tanh-SGD-0.1-0
10,0.5272,0.5264,0.7390012731645211,0.7326,SmallMLP-Tanh-SGD-0.1-0
11,0.5251,0.5243,0.7445183194228321,0.7434,SmallMLP-Tanh-SGD-0.1-0
12,0.5291,0.5143,0.7456500212194087,0.7453,SmallMLP-Tanh-SGD-0.1-0
13,0.5285,0.5219,0.7344744659782148,0.7344,SmallMLP-Tanh-SGD-0.1-0
14,0.5243,0.5457,0.727401329749611,0.7153,SmallMLP-Tanh-SGD-0.1-0
15,0.5218,0.5137,0.742537841278823,0.7422,SmallMLP-Tanh-SGD-0.1-0
16,0.531,0.5278,0.742396378554251,0.742,SmallMLP-Tanh-SGD-0.1-0
17,0.5281,0.5244,0.7337671523553544,0.7233,SmallMLP-Tanh-SGD-0.1-0
18,0.5296,0.5265,0.7446597821474041,0.7409,SmallMLP-Tanh-SGD-0.1-0
19,0.5315,0.5365,0.7406988258593861,0.7326,SmallMLP-Tanh-SGD-0.1-0
20,0.5245,0.5172,0.7474890366388457,0.7463,SmallMLP-Tanh-SGD-0.1-0
21,0.5171,0.5107,0.7477719620879898,0.746,SmallMLP-Tanh-SGD-0.1-0
22,0.5173,0.5224,0.7467817230159853,0.7422,SmallMLP-Tanh-SGD-0.1-0
23,0.5133,0.5152,0.7470646484651294,0.744,SmallMLP-Tanh-SGD-0.1-0
24,0.5148,0.5366,0.74437685669826,0.7392,SmallMLP-Tanh-SGD-0.1-0
25,0.5113,0.5125,0.7399915122365257,0.7398,SmallMLP-Tanh-SGD-0.1-0
26,0.5144,0.5225,0.7476304993634177,0.7428,SmallMLP-Tanh-SGD-0.1-0
27,0.5187,0.5152,0.7452256330456924,0.7418,SmallMLP-Tanh-SGD-0.1-0
28,0.5142,0.5116,0.7457914839439808,0.7429,SmallMLP-Tanh-SGD-0.1-0
29,0.5162,0.5397,0.7100014146272458,0.6902,SmallMLP-Tanh-SGD-0.1-0
30,0.5286,0.5161,0.7464987975668411,0.7462,SmallMLP-Tanh-SGD-0.1-0
