DEVICE;suministro;cliente;contrato;fecha_inicio;sea;distribuidor;subestacion;zona;distrito;distrito_descripcion;grupo_lectura;ruta_lectura;orden_lectura;grupo_tarifario;codigo_tarifa;tarifa
0;01_AA01;LZKVIR;3;2010-06-08Z;DBOSCO;13_ACHATEAU;5282;A;1;CORDOBA;1;1223;168;1;190;Residencial
1;01_AA02;EVLNRMZ;5;2014-05-06Z;DBOSCO;13_ACHATEAU;5311;A;1;CORDOBA;1;1223;90;1;140;1.a/f RESIDENCIAL
2;01_AA03;RXXDNSQ;4;2023-10-25Z;DBOSCO;13_ACHATEAU;5076;A;1;CORDOBA;1;1223;414;1;140;1.a/f RESIDENCIAL
3;01_AA04;ZTHSMEW;2;2022-08-17Z;;13_ACHATEAU;5311;A;1;CORDOBA;1;1223;6;1;140;1.a/f RESIDENCIAL
4;01_AA05;IELVEK;1;1990-06-30Z;DFUNES;13_CARAFA;1685;A;1;CORDOBA;3;1261;37;1;140;1.a/f RESIDENCIAL
5;01_AA06;XXVLQEL;2;2022-03-25Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1261;229;1;140;1.a/f RESIDENCIAL
6;01_AA07;KSOUQKE;9;2012-08-21Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1258;200;1;190;Residencial
7;01_AA08;CIFEPWJ;4;2012-05-04Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1261;183;1;140;1.a/f RESIDENCIAL
8;01_AA09;LXDBOKG;3;2005-05-11Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1261;178;1;190;Residencial
9;01_AA10;VMLCEF;1;1997-08-13Z;DBOSCO;13_ACHATEAU;5283;A;1;CORDOBA;1;1223;105;1;140;1.a/f RESIDENCIAL
10;01_AB01;NQTOYNV;7;2019-03-13Z;ARGUE;13_PENIAROL;2470;A;1;CORDOBA;1;1292;283;1;140;1.a/f RESIDENCIAL
11;01_AB02;FRBWBY;2;1996-10-29Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1260;1;1;140;1.a/f RESIDENCIAL
12;01_AB03;HJRAYR;3;1999-03-31Z;DBOSCO;13_ACHATEAU;5282;A;1;CORDOBA;1;1223;140;1;140;1.a/f RESIDENCIAL
13;01_AB04;CZCWYSE;8;2024-02-06Z;DBOSCO;13_ACHATEAU;3124;A;1;CORDOBA;20;1893;37;2;240;2 GENERAL Y DE SERVICIOS
14;01_AB05;VJPZCL;1;1990-06-30Z;SOBREM;13_CARAFA;1321;A;1;CORDOBA;3;1258;51;2;240;2 GENERAL Y DE SERVICIOS
15;01_AB06;XAJKSX;3;2012-01-16Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1258;181;1;140;1.a/f RESIDENCIAL
16;01_AB07;KXYPNPK;7;2019-08-09Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1262;6;1;140;1.a/f RESIDENCIAL
17;01_AB08;XXHNUAU;12;2023-07-21Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1262;123;1;140;1.a/f RESIDENCIAL
18;01_AB09;LQPGIPP;5;2017-10-11Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1262;13;1;190;Residencial
19;01_AB10;KRXKNSI;6;2022-04-29Z;ARGUE;13_PENIAROL;3008;A;1;CORDOBA;1;1236;125;1;140;1.a/f RESIDENCIAL
20;01_AC01;IFLMJBQ;1;2013-05-14Z;DBOSCO;13_ACHATEAU;5283;A;1;CORDOBA;1;1223;94;1;140;1.a/f RESIDENCIAL
21;01_AC02;KWZAJR;1;1990-06-30Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1262;25;1;140;1.a/f RESIDENCIAL
22;01_AC03;YAOBJB;1;1990-06-30Z;DFUNES;13_CBARROS;4652;A;1;CORDOBA;3;1262;91;1;190;Residencial
23;01_AC04;ZXEMMQG;9;2023-01-20Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1262;45;1;140;1.a/f RESIDENCIAL
24;01_AC05;UMSNSS;1;1990-06-30Z;DFUNES;13_CARAFA;859;A;1;CORDOBA;3;1261;176;1;140;1.a/f RESIDENCIAL
25;01_AC06;PLVFEKI;3;2009-06-01Z;DFUNES;13_CARAFA;388;A;1;CORDOBA;3;1260;29;1;140;1.a/f RESIDENCIAL
26;01_AC07;WUUCXHA;1;2019-01-10Z;DFUNES;13_CARAFA;388;A;1;CORDOBA;3;1260;34;1;140;1.a/f RESIDENCIAL
27;01_AC08;VTNAXAO;1;2015-08-18Z;DFUNES;13_COMERCIAL;5820;A;1;CORDOBA;3;1262;129;2;240;2 GENERAL Y DE SERVICIOS
28;01_AC09;PTAGZQR;1;2006-01-11Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1262;119;1;140;1.a/f RESIDENCIAL
29;01_AC10;EPMNDP;1;1998-03-26Z;DFUNES;13_CARAFA;1321;A;1;CORDOBA;3;1262;142;1;140;1.a/f RESIDENCIAL
